BD_Team,Region,Client_Name,Industry,Lead_Source,Campaign,Lead_Score,Current_Stage,Initial_Contact_Date,Deal_Closed_Date,Expected_Deal_Size,Actual_Revenue,BD_Representative,Opportunity_ID
Team E,Latin-America,FinEdge,Financial Services,Referral,healthcare expo,56,Prospecting,45534,,64594.26,0,Rafael Souza,OPP-00001
Team C,Middle-East,AgriCorp,Agriculture,Outbound,Unknown,42,Qualified,45321,,93959.06,0,Samir Gupta,OPP-00002
Team B,North-America,BioHealth,Biotechnology,Inbound,Spring Launch,73,Prospecting,45765,,82661.64,0,Rohit Menon,OPP-00003
Team A,Europe,GreenTech,Renewable Energy,Partnership,Green Tech Day,69,Negotiation,45838,,16867.56,0,Alex Patel,OPP-00004
Team A,Middle-East,TechNova,Technology,Event,Agri Meet,61,Closed Won,45806,45869,70024.2,61634.91,Priya Singh,OPP-00005
Team A,Europe,GreenTech,Renewable Energy,Social Media,FinTech Webinar,32,Prospecting,45170,,18467.49,0,Priya Singh,OPP-00006
Team B,Latin-America,GreenSystems,Renewable Energy,Inbound,Healthcare Expo,42,Prospecting,45818,,76460.93,0,Rohit Menon,OPP-00007
Team D,Latin-America,GreenSystems,Renewable Energy,Event,Unknown,45,Qualified,45613,,22027.86,0,Emma Johnson,OPP-00008
Team B,Middle-East,Urbanmobility,Transportation,Referral,Green Tech Day,37,Prospecting,45699,,35997.3,0,Unknown,OPP-00009
Team D,Latin-America,SafeBank,Financial Services,Referral,EducationForum,79,Negotiation,45867,,46306.655,0,Emma Johnson,OPP-00010
Team D,North-America,SafeBank,Financial Services,Outbound,FinTech Webinar,82,Negotiation,45642,,36566,0,Emma Johnson,OPP-00011
Team D,Asia-Pacific,AgriCorp,Agriculture,Social Media,Tech Summit,69,Closed Lost,45670,45735,24189.24,0,Chen Wei,OPP-00012
Team B,Middle-East,CloudWorks,Cloud Computing,Email Campaign,summer outreach,90,Prospecting,45715,,90679.85,0,Rohit Menon,OPP-00013
Team A,Middle-East,BioHealth,Biotechnology,Event,Referral Program,97,Negotiation,45680,,12653.69,0,Priya Singh,OPP-00014
Team B,Europe,GreenSystems,Renewable Energy,Webinar,Education Forum,21,Proposal Sent,45392,,70226.7,0,Unknown,OPP-00015
Team E,Europe,TechNova,Technology,Email Campaign,Unknown,69,Prospecting,45658,,37510.75,0,Sara Ibrahim,OPP-00016
Team E,Europe,FinPeak,FinTech,Social Media,Summer Outreach,22,Closed Won,45818,45838,24287.72,23722.32,Rafael Souza,OPP-00017
Team B,Asia-Pacific,AgriHarvest,Agriculture,Event,Referral Program,37,Qualified,45426,,59003.34,0,Rohit Menon,OPP-00018
Team E,Asia-Pacific,MarketIQ,Market Intelligence,Inbound,green tech day,82,Proposal Sent,45737,,58478.14,0,Sara Ibrahim,OPP-00019
Team A,Asia-Pacific,AgriHarvest,Agriculture,Inbound,AgriMeet,49,Qualified,45443,,20899.33,0,Priya Singh,OPP-00020
Team A,Europe,GreenSystems,Renewable Energy,Webinar,spring launch,92,Prospecting,45577,,34028.13,0,Alex Patel,OPP-00021
Team D,North-America,CloudWorks,Cloud Computing,Unknown,Referral Program,70,Negotiation,45432,,46306.655,0,Chen Wei,OPP-00022
Team A,Middle-East,FinEdge,Financial Services,Unknown,Healthcare Expo,95,Qualified,45740,,19614.73,0,Alex Patel,OPP-00023
Team D,Asia-Pacific,AgriCorp,Agriculture,Inbound,Spring Launch,76,Proposal Sent,45412,,21159.47,0,Chen Wei,OPP-00024
Team B,Latin-America,GreenSystems,Renewable Energy,Referral,Spring Launch,58,Closed Won,45493,45589,63105.54,69771.75,Meera Shah,OPP-00025
Team B,Europe,MarketIQ,Market Intelligence,Event,Tech summit,72,Closed Won,45448,45480,28628.29,25579.79,Meera Shah,OPP-00026
Team E,Europe,SafeBank,Financial Services,Event,Green Tech Day,61,Qualified,45755,,60694.28,0,Sara Ibrahim,OPP-00027
Team A,Europe,EduNext,Education,Partnership,healthcare expo,61,Qualified,45671,,103763.73,0,Alex Patel,OPP-00028
Team C,North-America,EduNext,Education,Event,FinTech Webinar,57,Prospecting,45592,,33355.61,0,Lina Fernandez,OPP-00029
Team E,Europe,FinPeak,FinTech,Outbound,Green Tech Day,61,Prospecting,45410,,96971.75,0,Sara Ibrahim,OPP-00030
Team C,Middle-East,AgriCorp,Agriculture,Email Campaign,Education Forum,92,Prospecting,45197,,8938.81,0,Samir Gupta,OPP-00031
Team B,Latin-America,MediCore,Healthcare,Webinar,Green Tech Day,74,Qualified,45790,,62901.02,0,Meera Shah,OPP-00032
Team C,Middle-East,MarketIQ,Market Intelligence,Social Media,Spring Launch,50,Qualified,45476,,58824.51,0,Samir Gupta,OPP-00033
Team B,Middle-East,MarketIQ,Market Intelligence,Outbound,Tech Summit,45,Qualified,45677,,27239.44,0,Rohit Menon,OPP-00034
Team C,Middle-East,EduNext,Education,Inbound,Education Forum,61,Qualified,45652,,38656.64,0,Lina Fernandez,OPP-00035
Team A,Middle-East,TechNova,Technology,Referral,Tech Summit,33,Closed Lost,45285,45393,44251.54,0,Priya Singh,OPP-00036
Team D,North-America,MediCore,Healthcare,Referral,Healthcare Expo,44,Negotiation,45283,,39101.92,0,Chen Wei,OPP-00037
Team B,Middle-East,BioHealth,Biotechnology,Referral,ReferralProgram,55,Proposal Sent,45711,,56897.74,0,Rohit Menon,OPP-00038
Team D,Asia-Pacific,MarketIQ,Market Intelligence,Social Media,Agri meet,71,Proposal Sent,45829,,39132.31,0,Emma Johnson,OPP-00039
Team B,North-America,FinPeak,FinTech,Inbound,Spring Launch,50,Qualified,45587,,129825.55,0,Rohit Menon,OPP-00040
Team C,Asia-Pacific,BioHealth,Biotechnology,Outbound,Green Tech Day,20,Proposal Sent,45531,,21693.17,0,Lina Fernandez,OPP-00041
Team C,Europe,GreenSystems,Renewable Energy,Partnership,Agri Meet,29,Closed Lost,45798,45869,34755.49,0,Lina Fernandez,OPP-00042
Team D,Middle-East,HealthPlus,Healthcare,Referral,Green Tech Day,26,Proposal Sent,45841,,24418.46,0,Chen Wei,OPP-00043
Team D,Middle-East,HealthPlus,Healthcare,Webinar,Agri Meet,52,Prospecting,45727,,46096.25,0,Chen Wei,OPP-00044
Team A,Middle-East,GreenTech,Renewable Energy,Inbound,Green Tech Day,30,Prospecting,45247,,39488.17,0,Unknown,OPP-00045
Team C,Europe,MarketIQ,Market Intelligence,Inbound,Tech Summit,76,Proposal Sent,45314,,61638.7,0,Samir Gupta,OPP-00046
Team C,North-America,AgriHarvest,Agriculture,Event,Agri Meet,46,Closed Won,45701,45776,46317.56,49044.87,Lina Fernandez,OPP-00047
Team E,Middle-East,SafeBank,Financial Services,Referral,Education Forum,36,Prospecting,45439,,34740.83,0,Unknown,OPP-00048
Team D,Europe,AgriHarvest,Agriculture,Event,healthcare expo,21,Closed Lost,45378,45465,17104.86,0,Chen Wei,OPP-00049
Team E,North-America,HealthPlus,Healthcare,Inbound,Unknown,52,Proposal Sent,45867,,101236.78,0,Sara Ibrahim,OPP-00050
Team A,Asia-Pacific,AgriCorp,Agriculture,Webinar,Agri Meet,55,Qualified,45865,,26460.21,0,Priya Singh,OPP-00051
Team B,Asia-Pacific,TechNova,Technology,Email Campaign,Green Tech Day,79,Qualified,45749,,27447.47,0,Rohit Menon,OPP-00052
Team C,Asia-Pacific,AgriCorp,Agriculture,Webinar,Education Forum,30,Prospecting,45649,,168346.54,0,Lina Fernandez,OPP-00053
Team B,Latin-America,FinEdge,Financial Services,Social Media,Green Tech Day,88,Negotiation,45219,,10131.25,0,Meera Shah,OPP-00054
Team D,Latin-America,SafeBank,Financial Services,Social Media,Referral Program,22,Prospecting,45226,,70119.43,0,Chen Wei,OPP-00055
Team C,Europe,GreenSystems,Renewable Energy,Email Campaign,Healthcare Expo,96,Qualified,45425,,33445.84,0,Samir Gupta,OPP-00056
Team E,North-America,AgriCorp,Agriculture,Email Campaign,Education Forum,62,Prospecting,45536,,40607.23,0,Sara Ibrahim,OPP-00057
Team E,Latin-America,TechNova,Technology,Referral,GreenTechDay,26,Prospecting,45696,,132903.93,0,Sara Ibrahim,OPP-00058
